,node_id,node_name,emb_x,emb_y,n2v_kmeans,n2v_dbscan
0,0,83,2.3704681,-0.2547459,1,-1
1,1,13,1.4404618,-1.0022082,1,-1
2,2,243,1.0928627,-1.2915281,1,-1
3,3,32,1.7284344,-0.7180502,1,-1
4,4,269,1.5407016,-0.92606497,1,-1
5,5,205,1.9369568,-0.6459978,1,-1
6,6,171,1.3412994,-1.0873481,1,-1
7,7,234,1.8387692,-0.6675948,1,-1
8,8,220,1.9400052,-0.6349413,1,-1
9,9,353,0.88813305,-1.4335244,1,-1
10,10,63,2.223743,-0.41674954,1,-1
11,11,484,1.0551358,-1.3534251,1,-1
12,12,273,1.9688094,-0.6213545,1,-1
13,13,474,1.1030391,-1.2608573,1,-1
14,14,386,1.4970598,-0.95881116,1,-1
15,15,242,1.408861,-1.0031807,1,-1
16,16,307,1.0845971,-1.3019189,1,-1
17,17,77,0.48486477,-1.7785475,1,-1
18,18,305,0.6291469,-1.6671091,1,-1
19,19,413,2.0003395,-0.59169596,1,-1
20,20,223,2.3859112,-0.28500366,1,-1
21,21,233,2.102286,-0.5002744,1,-1
22,22,240,1.4016119,-1.0469692,1,-1
23,23,14,1.5756843,-0.8492403,1,-1
24,24,213,1.6063917,-0.91633815,1,-1
25,25,210,0.96727175,-1.3813157,1,-1
26,26,134,1.8736484,-0.6756286,1,-1
27,27,144,1.7760285,-0.77653277,1,-1
28,28,154,1.6722895,-0.8326059,1,-1
29,29,304,2.004865,-0.6005802,1,-1
30,30,109,0.90548486,-1.4016502,1,-1
31,31,316,2.7233028,-0.00080400164,1,-1
32,32,341,1.3755487,-1.0190744,1,-1
33,33,301,1.1041398,-1.2812045,1,-1
34,34,335,1.9243952,-0.65071243,1,-1
35,35,232,1.5420605,-0.982969,1,-1
36,36,166,1.6391133,-0.83893883,1,-1
37,37,92,1.9831036,-0.5778577,1,-1
38,38,337,1.5633389,-0.9396518,1,-1
39,39,181,1.2071182,-1.1556715,1,-1
40,40,113,2.4650025,-0.19786839,1,-1
41,41,384,1.695198,-0.79391855,1,-1
42,42,4,1.6531143,-0.83212596,1,-1
43,43,409,1.4447074,-0.99429953,1,-1
44,44,395,1.758875,-0.7908944,1,-1
45,45,104,2.658544,-0.074473575,1,-1
46,46,196,1.4654101,-1.0247415,1,-1
47,47,56,1.5194948,-0.9755463,1,-1
48,48,121,2.0511248,-0.5267174,1,-1
49,49,333,1.5134225,-0.95740217,1,-1
50,50,308,1.8937535,-0.65594274,1,-1
51,51,332,2.289703,-0.41115683,1,-1
52,52,287,1.0525208,-1.2726287,1,-1
53,53,82,0.8557036,-1.5637257,1,-1
54,54,324,0.8781792,-1.4419737,1,-1
55,55,381,1.6758066,-0.85400194,1,-1
56,56,188,1.493571,-0.99481785,1,-1
57,57,246,1.2391286,-1.205595,1,-1
58,58,36,1.1975507,-1.1714056,1,-1
59,59,57,1.179431,-1.2214211,1,-1
60,60,295,1.4217273,-1.0235863,1,-1
61,61,222,0.96802014,-1.4188751,1,-1
62,62,189,1.372347,-1.0504484,1,-1
63,63,464,2.1935055,-0.43971995,1,-1
64,64,375,1.8108295,-0.7385807,1,-1
65,65,230,0.91377664,-1.4653225,1,-1
66,66,390,1.7835697,-0.71994704,1,-1
67,67,187,1.7565899,-0.7742495,1,-1
68,68,147,2.0017896,-0.5526322,1,-1
69,69,60,1.6981992,-0.78906876,1,-1
70,70,422,2.0095701,-0.59204876,1,-1
71,71,238,1.4422889,-1.020038,1,-1
72,72,108,1.1797009,-1.2510225,1,-1
73,73,399,1.4003502,-1.0260493,1,-1
74,74,70,1.6960772,-0.81974125,1,-1
75,75,204,2.1293554,-0.4771264,1,-1
76,76,106,2.1771195,-0.44940832,1,-1
77,77,352,1.4296129,-1.0109578,1,-1
78,78,1,1.7610284,-0.7531312,1,-1
79,79,41,1.9739121,-0.6059707,1,-1
80,80,361,1.34616,-1.0538665,1,-1
81,81,441,2.2825997,-0.40062228,1,-1
82,82,372,1.7765043,-0.75380594,1,-1
83,83,252,1.9643112,-0.586816,1,-1
84,84,65,2.1741374,-0.4711285,1,-1
85,85,47,0.8449474,-1.4031868,1,-1
86,86,468,1.0728668,-1.3239579,1,-1
87,87,155,2.6287374,-0.11749627,1,-1
88,88,345,0.22244513,-2.0375905,1,-1
89,89,425,2.6558282,-0.09787584,1,-1
90,90,403,1.0979974,-1.2954684,1,-1
91,91,139,1.3907992,-1.1431515,1,-1
92,92,209,1.0066488,-1.3698692,1,-1
93,93,124,1.2885782,-1.0928199,1,-1
94,94,338,2.9750185,0.115614496,1,-1
95,95,359,1.8074127,-0.6729583,1,-1
96,96,404,1.558312,-0.8886764,1,-1
97,97,217,1.369869,-1.0712717,1,-1
98,98,481,1.759754,-0.76038337,1,-1
99,99,111,1.4893665,-0.9509234,1,-1
100,100,483,1.9775729,-0.55951047,1,-1
101,101,349,1.8586216,-0.7412469,1,-1
102,102,351,1.8969866,-0.67880666,1,-1
103,103,25,1.2205949,-1.2127475,1,-1
104,104,184,1.5438839,-0.9332842,1,-1
105,105,291,2.0255315,-0.5414906,1,-1
106,106,23,1.8303239,-0.7129751,1,-1
107,107,200,1.9383395,-0.59955996,1,-1
108,108,367,1.566595,-0.97022676,1,-1
109,109,221,0.82141316,-1.5055338,1,-1
110,110,30,2.3838408,-0.23381932,1,-1
111,111,131,1.6634439,-0.87893075,1,0
112,112,297,0.9779916,-1.4151211,1,0
113,113,132,1.7371142,-0.7944118,1,0
114,114,311,1.3192081,-1.09878,1,0
115,115,249,1.7292088,-0.7433713,1,0
116,116,211,1.112246,-1.2611355,1,-1
117,117,263,0.8686922,-1.4873854,1,-1
118,118,258,1.7269422,-0.7696496,1,-1
119,119,472,1.8053962,-0.6934326,1,-1
120,120,499,-1.0093058,-8.753481,1,-1
121,121,192,2.4350915,-0.19999073,1,-1
122,122,231,1.24469,-1.1867878,1,-1
123,123,110,2.269154,-0.34342322,1,-1
124,124,445,1.0052136,-1.3741091,1,-1
125,125,394,1.4450086,-1.018966,1,-1
126,126,424,0.9987402,-1.4273473,1,-1
127,127,369,1.3496227,-1.1081966,1,-1
128,128,180,2.442491,-0.21294253,1,-1
129,129,292,2.0195355,-0.5727919,1,-1
130,130,52,1.6166892,-0.8806082,1,-1
131,131,76,1.0438495,-1.3512298,1,-1
132,132,426,1.2805187,-1.1187187,1,-1
133,133,447,1.1617801,-1.2079989,1,-1
134,134,158,0.557997,-1.6596229,1,-1
135,135,49,2.0404286,-0.5707177,1,-1
136,136,366,1.9457088,-0.63667566,1,-1
137,137,406,2.7798889,0.010584006,1,-1
138,138,286,1.7536058,-0.7636322,1,-1
139,139,74,0.6730728,-1.5867656,1,-1
140,140,407,1.2322351,-1.1702136,1,-1
141,141,153,1.4061005,-1.0130515,1,-1
142,142,3,1.7356004,-0.8256591,1,-1
143,143,387,0.95653397,-1.369072,1,-1
144,144,486,-0.80361575,-8.417266,1,-1
145,145,274,1.2394681,-1.1300306,1,-1
146,146,7,1.2634916,-1.1358862,1,-1
147,147,137,2.4887068,-0.22160992,1,-1
148,148,448,0.950645,-1.4424473,1,-1
149,149,318,1.7121176,-0.75916564,1,-1
150,150,133,1.0592436,-1.3008842,1,-1
151,151,342,1.9085922,-0.62472284,1,-1
152,152,218,1.516326,-0.9703692,1,-1
153,153,423,1.6370347,-0.8841193,1,-1
154,154,102,1.5531219,-0.9244616,1,-1
155,155,303,1.460552,-1.0022353,1,-1
156,156,283,1.0222622,-1.3324009,1,-1
157,157,488,-0.6698158,-8.441278,1,-1
158,158,40,1.1069485,-1.2987264,1,-1
159,159,152,1.6924158,-0.85796374,1,-1
160,160,272,0.98465073,-1.3647033,1,-1
161,161,162,1.4793035,-1.0065979,1,-1
162,162,177,1.4718778,-0.98001873,1,-1
163,163,363,0.72659105,-1.6134679,1,-1
164,164,87,1.9197086,-0.64739794,1,-1
165,165,195,1.9576483,-0.6203793,1,-1
166,166,80,1.7668746,-0.74088854,1,-1
167,167,418,1.217614,-1.2074835,1,-1
168,168,400,1.149813,-1.2436628,1,-1
169,169,461,1.7490637,-0.83457834,1,-1
170,170,167,1.5277934,-0.94634,1,-1
171,171,327,1.1668608,-1.1866299,1,-1
